                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.97513,                 1.3579,                0.94982,                      1,                0.99493,                  0.995,                0.79557,                0.85566,                 1.0115,                0.87735,               0.001307,               0.001307,               0.001307
                     37,                 0.9095,                 1.1955,                 0.8954,                      1,                0.99776,                  0.995,                 0.7772,                0.83374,                0.96255,                0.87061,              0.0012872,              0.0012872,              0.0012872
                     38,                0.84807,                 1.2428,                0.98391,                      1,                0.99776,                  0.995,                 0.7772,                0.83374,                0.96255,                0.87061,              0.0012674,              0.0012674,              0.0012674
                     39,                0.87721,                 1.0308,                  0.903,                0.99677,                      1,                  0.995,                 0.8042,                0.85283,                0.83778,                0.88641,              0.0012476,              0.0012476,              0.0012476
                     40,                0.91895,                 1.2026,                0.93834,                0.99677,                      1,                  0.995,                 0.8042,                0.85283,                0.83778,                0.88641,              0.0012278,              0.0012278,              0.0012278
                     41,                0.92204,                  1.237,                 0.9566,                0.99379,                      1,                  0.995,                0.83721,                0.76537,                0.95447,                0.86863,               0.001208,               0.001208,               0.001208
                     42,                0.97944,                 1.0034,                0.94366,                0.99379,                      1,                  0.995,                0.83721,                0.76537,                0.95447,                0.86863,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.8474,                 1.0836,                 0.9647,                0.99252,                      1,                  0.995,                0.79557,                0.79711,                0.88079,                0.86243,              0.0011684,              0.0011684,              0.0011684
                     44,                0.92441,                 1.1607,                0.89741,                0.99252,                      1,                  0.995,                0.79557,                0.79711,                0.88079,                0.86243,              0.0011486,              0.0011486,              0.0011486
                     45,                0.91295,                 1.0689,                0.90286,                  0.993,                      1,                  0.995,                 0.8955,                0.68253,                 0.8385,                0.83742,              0.0011288,              0.0011288,              0.0011288
                     46,                0.67688,                 1.9778,                0.65133,                  0.993,                      1,                  0.995,                 0.8955,                0.68253,                 0.8385,                0.83742,               0.001109,               0.001109,               0.001109
                     47,                0.92457,                 1.1632,                0.92352,                0.99428,                      1,                  0.995,                0.84554,                0.73999,                0.89912,                0.84347,              0.0010892,              0.0010892,              0.0010892
                     48,                0.83322,                0.96742,                0.91286,                0.99428,                      1,                  0.995,                0.84554,                0.73999,                0.89912,                0.84347,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0055,                 1.0077,                0.92428,                0.99257,                      1,                  0.995,                0.87007,                 0.7276,                0.78663,                0.84226,              0.0010496,              0.0010496,              0.0010496
                     50,                0.88807,                 1.0962,                0.91341,                0.99257,                      1,                  0.995,                0.87007,                 0.7276,                0.78663,                0.84226,              0.0010298,              0.0010298,              0.0010298
                     51,                0.89843,                 1.0837,                0.94864,                0.99074,                      1,                  0.995,                0.85803,                0.75104,                0.77706,                0.84024,                0.00101,                0.00101,                0.00101
                     52,                0.74707,                0.97791,                0.92385,                0.99074,                      1,                  0.995,                0.85803,                0.75104,                0.77706,                0.84024,              0.0009902,              0.0009902,              0.0009902
                     53,                0.82433,                 0.9692,                0.87867,                0.98982,                      1,                  0.995,                0.76469,                0.77525,                 0.8076,                0.83388,              0.0009704,              0.0009704,              0.0009704
                     54,                0.83346,                0.99005,                0.90227,                0.98982,                      1,                  0.995,                0.76469,                0.77525,                 0.8076,                0.83388,              0.0009506,              0.0009506,              0.0009506
                     55,                0.63266,                 1.8299,                0.64455,                0.98864,                      1,                  0.995,                0.78332,                0.74087,                0.78028,                 0.8124,              0.0009308,              0.0009308,              0.0009308
